customer_id,full_name,email,phone,created_at
"AFB5KJR4Q5FICAHBOPDPUTB3O7QQ,AHW3QBHDOUMXODZ4EAMHD5JMDIDQ,AGXRGH7DLS3RVFS5KWU4PGR3H3GQ,AFLIHOX2HH7S2OJAD63UAHKMY34Q,AEHBE4U3HD6G2TMSHKE7TNZYOWCA,AFHKIURZM4R62UEXTOCZLI2FPQ6A,AEW6K4E5A4RUWRFFUDINQE5WWBSQ,AG4LMDCRAAKD4U2FZ6B6N75KTHXA","Rohan Narkar,JAGWINDER SINGH,Gursewak Singh,Avii,Amit Sharma,Ritesh Agarwala,Rahul hardaha,Amazon Customer",rohan.narkar.jagwinder.singh.gursewak.si16@example.com,5556086216,2023-04-11
"AHBNKB74LGTYUOKPAJBSKNFV45CA,AFIECTV45ADX5YPTE2VU6ORRHTGQ,AFDUJI7KG7VMZF4JGJHV4DBCA4OA,AEUWKSX5ZL7DWOOYVDOWJKBHOVXA,AHEJW5MYVFOQBEXD6BIUBB3PJBPQ,AEM2Y22BKLFYL5BK7SC56Q75ODOQ,AHWDVB4OO4S3YS5RYQZIDBNV6BUQ,AFCEDQXVCB4LUUBWXRJS6KRU62FQ","NIRMAL.N,Manoj kumar,SOMNATH DAS,Harsha,Pradhut Roy,MAHENDRA NATH DAS,Naveen Kumar,Gopi Sahu",nirmal.n.manoj.kumar.somnath.das.harsha.17@example.com,5553325983,2024-05-29
"AFNYIBWKJLJQKY4BGK77ZOTVMORA,AFCTNNMP2LZLY5466YJ5AY3JE5ZA,AG3XBWOAL65DJSBHJ7LQ2K54HJKQ,AF2ZFMLJS4UBCGZO4FMJTEPP6MHA,AFBZMRHC4GXUU7KNAK4OBKORDF6Q,AHSIQL276K7X2UP72QOOOWNVRSXA,AF3D6X5NQWOBOEVVH2Y37N55AKZQ,AFWOTSQXCQJLZ653Y7ACEZADKGYQ","Prasannavijayaraghavan G.,Preet Sikka,Theeban Raj,Nishikant,Gurpreet S.,Manoj,SP,Ashutosh",prasannavijayaraghavan.g.preet.sikka.the18@example.com,5556254747,2024-12-23
"AEO5FHWNOSFBT554DKQAG4ICBGFQ,AGIQ5Y7Q4MKZ542KKVFZLAIZV6GQ,AFD53TWXXCPJAYQJ7REZPW34AKKQ,AHBMHE56M3IAD7Z4KXUKREAZX3WQ,AFR4YULNFZZC5DJOWH2KNFAOM6BQ,AEP5UMK4KDMGZGBHBLZDB2R37OMA,AHLKQWAPXICPCSCIPIF6C6FOENOQ,AHTBS46SCEBGWK4SUH3FOQEORR3Q","aditya d.,Paranthaman,ashik rahman c,Rajas c.,Madan Tejaswi,Sumit,chaitanya srikrishna,subeh sharma",aditya.d.paranthaman.ashik.rahman.c.raja19@example.com,5554427660,2023-06-02
"AHEVO4Q5NM4YXMG2HDDXC5XMBGRQ,AFZPH7ZAWX5VDY3HOBNYRDGIDBVA,AFURD6VVHRG4HZ36KXGXYUTVUDLA,AHJF5BZJNDLXJXSW74ZPLHGO7GUA,AFUS52CHEA75E2YGQ6SYGP3PKBGA,AGS3YC22FW2PCSH3I7ODDXETZ6BA,AGGI2H2AGOIX6IBDJRWULYUP5DPQ,AG4TU4LCQXF2XTLMMGMFTNWL3OOA","Rahman Ali,MARIYA DASS,Md Aftab,roshan s.,Mohan,Devendu Sawant,Shek hussain,Prathap Pathaneni",rahman.ali.mariya.dass.md.aftab.roshan.s20@example.com,5558693535,2023-05-14
"AHIKJUDTVJ4T6DV6IUGFYZ5LXMPA,AE55KTFVNXYFD5FPYWP2OUPEYNPQ,AEBWA5I4QFCA3P3OBEPMELBGN4GQ,AHMGAC6QM62UXNEOCZIHLHSXPP2Q,AFHROSCGIXUPV3FYQ7H5QOD46Q7Q,AEAMIR3CMSA32IDEINSJKHRNANTA,AF355FTXYAKFH5NYPRTE7SL3WO3Q,AG5DWPD54QGSLWJ6QUFERLPNAX4Q","$@|\|TO$|-|,Sethu madhav,Akash Thakur,Burger Planet,Justice ⚖️,indrajyoti d.,Aditya Kumar,E.C.GEORGE",to.sethu.madhav.akash.thakur.burger.plan21@example.com,5551748005,2024-01-20
"AFSMISGEYDYIP3Z42UTQU4AKOYZQ,AF5ILQY4KFDTO5XHHBJ42W5DXCZQ,AFBK3X6D3AHEHSYYXPL4L6JEMSLQ,AFNB6YVNGE6IT3AWQVSIG2TJ5L3Q,AGGKMIGXUM3JRNVY7HZ3JHPJ7WTQ,AFMECPERM2GI2XQJSBWEPZKODISQ,AETPKXNOTUEX5GH7WL7XQHDR5M7Q,AERFCJ6BOMVO5YW5XM5Z2ESOIK3A","Ayush,ROHIT A.,Kedar,Haran,Santosh Ghante,KRISHNENDU,Harindra,sangamesh",ayush.rohit.a.kedar.haran.santosh.ghante22@example.com,5558485646,2023-01-21
"AGVUE2NFN2MQEOQ4PR525B2ZI5PQ,AFO4M4BQ2WS7A3LPKJY45B5C7DYQ,AG6CREU25N6P2H7RCHNIU6GGJ5BA,AHFITGJEF76CXALJZLYP6OIC4EOA,AG54MN24SX3EMMON4AMBUNL74K3Q,AF3GETWWBGMLASY2KKNNBS2VO6DQ,AHEIPXMFMVWHNPLGUXUIV5XNP2SA,AFWQRBBVJWYTYUFQHUJE63S6VXJQ","Yashpreet Singh,Abiram,Aakaash Ramchandani,Amit katoch,Avijit Basak,Anirban B.,Dass,Gopalakrishnan",yashpreet.singh.abiram.aakaash.ramchanda23@example.com,5557984862,2023-03-24
"AFUT7ANZTZYGLXU65EQ2D5OP6UMA,AGT7YYJVUC6ZHRKQHVUQZMDNLXEA,AE7OMK3IQJR2U2JZE2HQ4BKSPA6A,AGCRCU432TIF4J2EL7GBEWOIULGQ,AERQBL3BISJQVHO3RLOOA4HKZX5A,AHIWNZ2HBQAHVE4OWODM6WH4PMOQ,AH2347WTE3DZ3TIZUB5LCLZPAYEQ,AHIH3QL5XONYJWEXF7VKLFHZBDJA","ATHARVA BONDRE,Sujitkumar Thorat,Chandrasekara rajasekara reddy,J vasanth,Placeholder,roshan,Boopathi,Rajesh",atharva.bondre.sujitkumar.thorat.chandra24@example.com,5559030713,2023-07-26
"AFYR53OTBUX2RNAKUZHUJ4RFJJNQ,AHR735YWWYFTQI5VGEEYP3DZPB6Q,AEO5NTPVZBDP7EHO2NOJ3Q6QPN3A,AF7S5C6MJ7XPJ26E3U3Z5TIWHRMA,AGY65IJP7XREWO3GUDT46474CYKA,AE2E632GMYL5U2ESNXOX5UT5D34A,AFHE44JRHYO42EGIWNM2GC75ZIJA,AEMJJHRL3DAOOLBWHIDSFW56MJWQ","Anand sarma,lokeshnist,C,SAI KIRAN,Amazon Customer,Jagdeesh singh,Kalpit Sultania,gopi",anand.sarma.lokeshnist.c.sai.kiran.amazo25@example.com,5552731713,2023-07-20
"AHZWJCVEIEI76H2VGMUSN5D735IQ,AH2DFUHFTG4CKQFVGZSB4JHXSAWA,AGYTSAUTXMOPROERNJPXNEB2XWNQ,AF5JWNCDVWTXOFCICR6IYNOEQENQ,AEEFM3W6RGC2KDYG5B6N7VQXR4QA,AGRT55DXEGF2EOL63HOKKKBB2KFA,AF6R7AMFHIWTMNFF6WPGFDOF7Z5A,AEGXNM3XGAHJGUJ7MIFPE7QFMJHA","Amazon Customer,Govind Gujarathi,Vihari,shalem,Tejas,RADHA krishanan,Vasudeva Govindraju,Amazon Customer",amazon.customer.govind.gujarathi.vihari.26@example.com,5551055349,2024-09-21
"AFA332YHUPB6I7KMME7SOFX5RKQQ,AH3LHRL5P4YAVOQQCH72G2PJFXSA,AGUUHLF34AIEIOE5KULXXVWKBCMA,AHWY6IG3PXBBJMLVFMHHKM25BVCQ,AEOKB3ECJUM6UQOBFKMEMQVVHL4A,AEYA6LQE25O2P6C7XV62XM3YV2EQ,AHMKSLALVS62JUHSHAI3FUXWDYYA,AFZIZOK5KDBOB5QCHUQRR2ZWUYKA","GHOST,Amazon Customer,A Vase,Mani Jha,Anu B,Ganesh Inguva,Prabhu,Amazon Customer",ghost.amazon.customer.a.vase.mani.jha.an27@example.com,5554127555,2023-01-17
"AGBX233C7B7D7YZEL7ZLFWMQKFDQ,AFKSU4D3IE4KNDBVVBEA3AHDD2YQ,AHJK4PVBRGDX4N5LYA4EKHULJOPQ,AFW6NV5N3FUXV3CNUACPSYC5AB3Q,AGOCMOZJWGI5VHFT2RZLTQFZLKPQ,AGX3GCRGFU4IHAJZRUP655EEGSQA,AEG5JOZOUBWEAZOGQQR6YDVPTL6A,AGUQYXAUPX5VOWYZTIWXMUIGVGCQ","Pravin Kumar,Maestrov,rag,Mukundha2good,Amazon_Shopper,Sonic,Pratap,Amazon Customer",pravin.kumar.maestrov.rag.mukundha2good.28@example.com,5553706160,2024-10-24
"AGHYCMV7RJ5D76UEZDZJPPEUGU5Q,AGKG3U55NSBTQ4QBDCGLUGSEEICA,AEK7TJPOW2SWCHCQOA7OEGXDZPCA,AH4QNGP7K2SO6FBWTS4Y274VHV6A,AH6CX2UTCOW6LXS74QK3TCQOHRIQ,AG4T75DAKCNZ6EPYPMKBGV6J54JQ,AF4GBAADHEMI3ZLPBAIZWYWN7GJA,AGOMXFNBIQBEWLN4JDC65FDPTBDQ","Rishabh,Amazon Customer,Darpan chauhan,Kumar Ketan,Amazon Customer,jayaprathap,Nirmal,Mihul pandey",rishabh.amazon.customer.darpan.chauhan.k29@example.com,5558183786,2024-02-22
"AHMKXORT3VNMB75C3EUBYMFYELFQ,AEKJRELVNMICYPOYTKMVF52YX2WQ,AHQPBXZSJ3XZILPJVXE4BN7ZL26A,AGELSEJKLWPVNPXQ7DGK63PEQF5A,AGGBXJFPXZVOJMMB6MMQOPLCJWGA,AEWA5TH6PMRZXMFY5MHCIU2MNFHA,AHPDFQLNLMNV5X4QNH6J7IUMREAQ,AGKQKPUOEC3LQR7GHBQYAHPTU4SA","Pratyush Pahuja,Thiyagarajan,yeses,Amazon Customer,Ajinkya,The Scarred Man,KULDEEP GUPTA,Abhishek Thapar",pratyush.pahuja.thiyagarajan.yeses.amazo30@example.com,5554977656,2024-04-21
"AEQWVGESA7TDGK7KZ4DAJQGYH32A,AECGAMNNIMW5QOPOBXRYQAKMQGEA,AEA5X2W76STDCKVMFZ2WP7H7QFUA,AEWMPOUFVOFZ3WMJGHLOYQ7VGUJQ,AGLVW6SUWTW35HT5AYQR4CKA5IOA,AFSU7KWDY4KGQSFFCRXJ4IPJREAQ,AHS7DI2FACP3P3FNVH7263NLW2TA,AELNHGVCLQTWAEFDH244JJZZSVAQ","Verified Buyer,Avishek Majumdar,Drowna roy,mahaboobali khan,Aamir,PRAHLADAN K N,Abdulkadir,raja",verified.buyer.avishek.majumdar.drowna.r31@example.com,5557814360,2023-01-17
"AF477BP57JM7Z4JD4PYB2K33R6AQ,AGTDD34Y77OB36JNYQWQDN7MHECQ,AG7POKBSWQUO4VOYD4HDWYKMMJ4Q,AFZS6H2ZFJEJHRWIJ3IYL7V6KRPA,AHCYM2ECKI2MNOIDHDG4PT6IIN6A,AECZ4IP3TBM4EUG52BZAOQV3EKIA,AH6RQDXZYKAUPNBOYC4NAZERTFOQ,AFTVETL4HGH4KRUF4NXGJUEDPBAQ","Placeholder,श्रीPKजी,Gauri salkar,aQeel,Ashish Raj Arora,Ankit,Amazon Customer,Ramamoorthy Jaykumar",placeholder.pk.gauri.salkar.aqeel.ashish32@example.com,5551758539,2024-07-02
"AF2IRSQZKMBGX44YDNUPYRHWXOZQ,AF6VSSXOI3Y4PZCNRJ3L27NCXPYA,AHQKC4MLLVOPBTKJFDBGTXFRKLYQ,AGX5ELLH3KJJ4CY2DJJOXDSOEI6Q,AGJ23TWSY6YFMAVSEAOAUEWO4QLQ,AFOHB4M2RWSUQ3SSZWPMD2FPH6PQ,AFVHKKOI25DAQSETPL7Z5W5SIVUA,AE55WJERHR4C7SEAIWX4JJHFSZBA","Wraith,Krishna Engineering,Kindle Customer,Deeps,Chintada Bhaskar Rao,FH,Vasudev,Done Chandra Mouli",wraith.krishna.engineering.kindle.custom33@example.com,5551242369,2023-11-16
"AHUH7OYN3LAUATF5EGA575WCDI6A,AFQRX6TAM6CHKARXIXR25X4Y2K2A,AFIAYICSN46TZ373SYU2DLQH7MHQ,AE7O44O3ZCU6YCS56X4UBNSMN2DA,AG7KTA6KY5FALZELPIEMQBXP6TYA,AFW2YA3CWHADWVPZJRCSYJJ2O3YA,AGOGMKLERURWSCD4RIH53WPEVTWA,AHXAYZML25KY3YMOTME234UUGWXQ","Anmol,Vani,Tejas Jha,Rishabh Gupta,Nik,Harsha,Thota Srinivas,Lokesh",anmol.vani.tejas.jha.rishabh.gupta.nik.h34@example.com,5559188282,2023-05-27
"AGDOVGWZKEQ3M6DA2GHV6WUZT5SA,AGEUXHN7U2Q26CM6TFOTW7GZXFXQ,AHYXZVXUY3QTBP7IBFIUBSZVH2XQ,AGO4OKG6KVBAAE52Q62JBKHRDFFQ,AGOARJLTS744KQC3BTKT5KQVOJUA,AF6XISKAQXTX3Q5RUF2M2VKOJ66A,AEP6PYK2DLTD5UCMURSUNUE4IE5A,AHJSNMHQQWE6LMFRATH5LLJBQQXQ","Abhishek Kumar,Arun prasath,Naveen,Harmit,Placeholder,Precision Engineering,Senthil Kumar B,Sasikumar madurai",abhishek.kumar.arun.prasath.naveen.harmi35@example.com,5552842457,2024-12-03
"AHRUMHBZ7IAQPLH4W5Y3A6HLQFVA,AGSJW5TCLJEKW4HAJAA4XRRNDAWQ,AFPK3KEV3ZSEJ7K6U6C3LERQ2E7A,AE43YOKQNGCH4SSBHBYFXDSPX6YA,AF6UDET5A7UZVF6X6PLTCNPAG2JA,AG4NQECOQ6XL3YXY2ARSILF65W6Q,AGQKQGF2M565PCZ2RPUYM7HIWH3Q,AF5PAF6QWH67HHLGCH6LBYQJPPUQ","Koushal K Jain,Mathew Jibin,Jeevan,Hemanth J.,Rajiv krishna,Mohammad Thayub Pasha,MANOHAR MALTHANE,pragati",koushal.k.jain.mathew.jibin.jeevan.heman36@example.com,5559043433,2023-05-07
"AEYHTCWWZYU3JQBU6SLNFFT3OMVQ,AENQPV63OVBZHJ7L7V37M2ADFY7Q,AH7J7BCTWAMK2REWT4AMA2V5DPUQ,AFZSC27UUKDN5VYQVMAPYZNQTULA,AHM56NVJXROPTI5WICZITI4YAZAA,AEWZZXQWEU2QSVBCT7AJQ3FXMZWA,AFBLTBDVC23HRPXW2OQ2JDV3BNNQ,AGCX23QVQFBCYCAUWQNM4YHMKMQA","Shiva,Uzef,kottala samuel,Renjith,Dhivakaran,Mark,Utkarsh Tripathi,Vijay Sreekantan",shiva.uzef.kottala.samuel.renjith.dhivak37@example.com,5553027240,2023-10-27
"AHB43CZ4RHLJ5S6CBOWX6MEI7J4Q,AHP24JLRZ2DTLBEX22A6DVUJDSBA,AGLKKKJCKHZ32S7MCK46JWDZ2A3A,AHXCZCBKCKFAOJJ2GOCQS3OKPQOQ,AHZ4UBDUCUMY6IGCR67LB4P5RBXA,AHCGV72I3RKXOSSUNK3SQOB677NA,AFTCOTLY72MCSV5WHMHSZ67ZZG6A,AEF55HUCR2L3DMBXVV4SGD55JKIQ","Sameer Patil,TechnoLoon,Deepti Rawat,Ajay,Sagar Rastogi,Gangadhar Rao Nepa,Jaydeep,Rishi Kapoor",sameer.patil.technoloon.deepti.rawat.aja38@example.com,5556921840,2023-08-10
"AEM356PVXFHAXWV56KDO75FS5WPA,AHVTFTBEBRRJCG72ZG7ABDNQSAOA,AHFTFGF2YB5ZEUB3NC3KOBGZBG5Q,AEI36WUCG27UYFAGDF7HX74VEGIA,AGW3NGXVSGUB34Q5V6ACANURQMGQ,AEIMBDWSM42YEDEE6476WUXFZJHQ,AHM5MCT3ZO5Q2MBYZUDB6UI5AXLA,AFTPXYKUNENYJVDOC55L2CJXPXFQ","Paul Joe,Simon Rex P. J.,Santhosh,Rajat Singh 2,Placeholder,Jay,VARUN PANDEY,Jai Jyothir",paul.joe.simon.rex.p.j.santhosh.rajat.si39@example.com,5559212230,2023-11-17
"AE47XF2766XJOEOI42DVP2HMB4YQ,AH6JPV326WGUKC2J4EGVP3IN6ZLA,AF4X3QT4KW3DV2HUMQVSOJDISOOQ,AG46FAHE6KV3OQCLJYKRDZWNNYGQ,AFG6OH7UYU5ZITX4NE2KQR3DX5SA,AFCZMUBZNRVRW2EJJKK5PN2YQZVQ,AHDMHAUOY75NWLNOF3X4UPNKXFSQ,AHWCWBYXHX4QO7ZOFUYIUFTTAJIQ","Amazon Customer,DHONDU,Saurabh,Promod George,Ramesh Haran,mram,Placeholder,SHASHANK",amazon.customer.dhondu.saurabh.promod.ge40@example.com,5559125005,2023-11-18
"AGA2PZGWMQIRA46VYOTICFE7KCBA,AHI2QJ4CLTCQWACDIC2LDFJPDAPA,AEXAFY7V2ZRZI2GD2J6KDOWBZUBQ,AHAEBXTXQDY355AGFMFX3Z2VAAUQ,AETRIARSUFSMNG5LFJZMW6CBJMMQ,AEHQQTEDMSXRGSBDDEIH3JF4AOMQ,AGMG74N6WQGI376W7GEJJ4XD3ARQ,AG7QMBEFFY2LJJKKEVWMJU2BMNRQ","nilesh,EAGLE,Manoj KNS,Titus P.,Paras singla,arun,Ankur Awasthi,BALASUNDHARAM B",nilesh.eagle.manoj.kns.titus.p.paras.sin41@example.com,5552600440,2024-06-13
